CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
05091,6.342105263105263,13.9,43.7,32.1,7.7,38.8
05093,6.244186046488372,15.6,43.2,32.4,7.7,40.3
05095,5.444444444555555,15.5,43.4,32.9,7.9,42.0
05097,4.3958333335,12.7,39.8,32.8,7.8,37.3
05099,4.270833333375,14.8,41.5,32.1,7.9,40.4
05101,4.309523809714286,12.2,39.5,31.8,7.5,35.4
05103,5.801282051423077,14.3,42.5,29.9,7.2,40.2
05105,4.444444444555556,12.2,37.6,31.8,7.4,35.5
05107,6.270833333333333,17.7,51.3,32.1,8.1,45.3
05109,5.499999999888889,12.3,37.1,32.4,7.4,35.9
05111,5.478260869608696,14.0,40.8,33.3,8.5,38.9
05113,5.333333333375,12.5,37.0,32.3,7.6,34.7
05115,6.393939394121212,12.7,36.1,33.6,8.0,36.8
05117,5.5166666667,12.4,38.3,31.9,7.3,35.8
05119,10.526918671453608,12.7,38.4,30.1,6.6,38.0
05121,4.63541666675,13.0,37.4,33.0,8.5,38.6
05123,5.0679012345925925,17.1,44.5,32.4,8.5,46.3
05125,5.786885245901639,10.6,37.2,31.6,6.2,34.7
05127,4.259259259333334,12.9,38.4,32.2,7.9,36.6
05129,4.199999999899999,13.8,40.8,33.0,8.7,38.1
05131,7.548387096634409,13.2,35.9,31.6,7.8,36.0
05133,5.53030303,14.4,41.5,31.8,7.8,37.2
05135,5.203703703777778,12.1,38.0,32.9,7.7,38.1
05137,4.9999999996,12.8,37.2,32.0,8.2,38.5
05139,6.341463414585366,13.5,41.2,31.4,7.0,37.7
05141,4.564102564230769,13.1,37.0,33.0,8.2,36.4
05143,8.001501501684684,11.9,33.5,31.6,7.2,33.5
05145,5.971014492869566,12.5,40.4,34.5,7.5,37.9
05147,4.979166666625,14.4,41.3,32.7,7.9,39.8
05149,4.813725490176471,13.6,38.7,32.1,8.1,37.6
06001,14.138809296365807,9.2,19.4,30.3,4.7,25.7
06003,4.833333333500001,8.8,29.9,28.8,5.7,26.7
06005,6.535714285464286,9.0,27.3,29.8,5.6,26.7
06007,7.058974358871795,9.8,31.5,30.3,5.8,28.8
06009,6.383333333433333,9.4,29.4,30.0,6.0,27.9
06011,6.65000000075,11.7,32.2,31.2,6.3,28.5
06013,11.492150706521194,9.6,28.4,27.0,5.0,24.9
06015,8.69166666685,11.2,33.8,31.1,7.1,30.5
06017,8.37066666692,7.8,24.8,30.0,4.9,25.1
06019,11.11884550066893,13.0,39.0,31.0,6.2,31.0
06021,6.398550724826087,11.2,34.1,30.3,6.2,29.6
06023,10.554012345870369,9.6,33.1,31.6,6.2,29.4
06025,8.569444444489584,15.1,38.5,31.7,6.7,29.9
06027,6.906250000125,9.3,29.9,29.6,5.4,26.5
06029,10.323099415385965,13.0,35.9,31.9,6.4,30.7
06031,10.825102880864197,13.0,31.9,31.7,6.6,30.6
06033,9.440972222291666,9.7,30.7,29.9,6.0,28.4
06035,7.74,10.5,32.8,30.8,6.6,30.2
06037,13.572347600551595,11.4,26.2,32.8,5.0,26.9
06039,8.916666666774999,12.7,35.2,31.5,6.4,28.7
06041,11.899999999634284,7.3,23.5,27.7,4.3,21.6
06043,4.833333333411765,9.8,32.3,30.1,6.5,28.2
06045,9.016877637316457,9.8,29.4,30.7,5.9,28.0
06047,10.952546296298612,13.6,34.5,31.7,6.8,30.6
